caption,float32_rank,turboquant2_rank,rank_delta
A boy with a blue shirt on holding a white ball with colorful circles under his arm.,5973,25094,19121
Musician with fender guitar looks on before his next performance.,458,15165,14707
A man walks in a street,7558,21974,14416
The man in the striped shirt is taking a picture of the other man in gray.,2109,16153,14044
A man in a green shirt and gray pants walking on a street and passing by a store.,4081,16631,12550
The girl is preparing to take her shot.,631,11289,10658
A soccer player prepares to tackle a player from the rival team.,897,11473,10576
A man in a pink shirt is crossing his legs.,8451,18533,10082
A man with glasses looking down at something while sitting on something made of concrete.,2739,12109,9370
Two race cars burn rubber as spectators watch.,56,7757,7701
A couple wearing winter coats posing together.,74,7764,7690
An older man with a broken arm and cane is at the park.,16,7467,7451
A blond headed toddler walking with a red piece of paper in hand.,499,7041,6542
A group of people travel through a line along side a gorilla statue.,6457,12746,6289
A man is sitting and using his cellular phone.,338,6521,6183
People stand on a sidewalk outside of retail stores.,4341,10350,6009
"Tourists visiting a landmark, taking pictures.",1402,7402,6000
"A man, woman, and child.",48,5949,5901
The low sun is casting a shadow of the person on the wall behind them.,947,6442,5495
Construction workers do maintenance on a train station stop.,779,6019,5240
A firefighter is shown trying to climb into some debris.,42,5222,5180
A woman in a jacket is standing next to a fence playing horse shoes.,239,5346,5107
A group of people standing in front of a building.,263,5272,5009
A boy in a blue shirt is jumping backwards over a horizontal pool.,1133,6111,4978
A bike racer races down the pavement.,653,5499,4846
A soccer match is getting ready to start.,174,4840,4666
A person in jeans and a black coat talks on the phone while walking past a bus stop.,141,4252,4111
A man in a blue shirt is walking and talking on the phone.,15294,19356,4062
"Two women, wearing white shirts, colorful scarfs, white gloves, dark sunglasses and hats, wave to others.",78,4134,4056
A man and a woman hugging.,144,3975,3831
A guy is looking at a girl that has a finger in her mouth.,1536,5301,3765
A man cutting up some food on a yellow board.,1078,4824,3746
A red-haired woman looks past the cameraman.,55,3666,3611
"A man dressed in a long-sleeved, button up blue shirt, and a black and silver baseball cap is holding a phone to his ear.",215,3756,3541
A woman wearing a cobalt blue half-top and a turquoise cloth headband is observing herself in a mirror.,7,3470,3463
An exotic dancer making a pose.,831,4136,3305
"A billboard of a woman, with three men, two in a lift, and one on top of the billboard.",1603,4898,3295
People are clapping their hands after the speech.,2574,5839,3265
"A woman wearing a black jacket walking down the street with a young girl wearing a backpack, getting ready to pass a group of people standing on the street.",1802,4913,3111
Man in a helmet riding his bike.,708,3732,3024
"One man takes the picture of another who has struck a brave pose while wearing a white cap with long, curved horns.",105,3048,2943
"Picture looking up to a marathon biker on his bike, going down an aisle of people.",4389,7279,2890
A chef dishes a hamburger into a portable container during a festival.,270,3054,2784
Two children living life on a third world street.,51,2777,2726
A person plays cricket while being watched by a crowd.,133,2719,2586
"A bunch of bike riders, riding down the road on a cloudy day.",19,2530,2511
A woman stands on a city street with an apron and basket on her head.,336,2815,2479
Odd looking young adult playing around a large tree that has big roots.,373,2851,2478
Two men dressed in blue face each other.,47,2498,2451
Conversation between two man.,374,2811,2437
